ID,Category,Price,Size,State,Brand,Colors,Amount_Of_Pictures,Ratio
488469170,Boots,16.5,39,Good,Clarks,Grey,7,15.666666666666666
488505459,Jacket,4.0,M / 38 / 10,Satisfactory,Sisley,Grey,6,16.0
488503711,Bag,6.5,,Very good,Vintage,Brown,6,6.125
488477412,Heels,17.5,39,Very good,Wolky,Black,8,11.88888888888889
488491901,Blouse,4.5,M / 38 / 10,Very good,Mina UK,Beige,5,inf
488498166,Jacket,12.5,L / 40 / 12,New without tags,Summum,Navy,6,11.4
488488349,Boots,8.0,39,Very good,Vintage,Brown,7,32.0
482742350,Blouse,2.0,S / 36 / 8,Very good,Atmosphere,Black,4,inf
476692703,Top,4.0,M / 38 / 10,Very good,Monsoon,Rose,4,7.5
476679457,Dress,6.0,S / 36 / 8,Very good,Laundry Room,Black,4,inf
476671338,Dress,15.0,S / 36 / 8,Very good,Danity,Black,3,inf
460317960,Skirt,15.0,M / 38 / 10,New without tags,,Green,6,inf
460210581,Suit,6.5,M / 38 / 10,Very good,Soaked in Luxury,Black,5,8.0
460200826,Blouse,5.0,M / 38 / 10,Very good,Vintage,Cream,6,8.666666666666666
458857329,Blouse,5.0,M / 38 / 10,Very good,Vintage,Cream,7,14.166666666666666
458658612,Blouse,6.5,S / 36 / 8,Very good,Vintage,Rose,3,15.5
460213381,Blouse,7.5,M / 38 / 10,Very good,Vintage,White,6,15.333333333333334
847438544,Skirt,8.0,S / 36 / 8,New without tags,Weekday,Green,3,6.0
847153989,Sweater,5.0,M / 38 / 10,Good,Vintage,Green,2,3.5
847022859,Mens Top,60.0,S,New without tags,Wood Wood,Beige,4,8.0
836757714,Top,3.0,M / 38 / 10,Good,Zara,Black,2,4.25
836754229,Top,3.0,M / 38 / 10,Good,Zara,Black,1,4.5
836750715,Top,3.0,XS / 34 / 6,Good,Monki,Grey,2,5.666666666666667
836747609,Dress,5.0,M / 38 / 10,Very good,missguided,Gold,3,6.142857142857143
836741726,Pants,5.0,L / 40 / 12,Good,H&M,Grey,2,6.0
